Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,Sale price,Manage stock?,Stock,In stock?,Images,Meta: _cvd_source,Meta: _cvd_source_product_id
simple,CV-BIZ-115752,Toalla Cisne Blanco 70x140 cm (beige),1,0,visible,18,,1,4,1,https://biznecubano.com/images/small/tenants/1410/products/115752/nyt-product-cover.jpeg,biznecubano,115752
simple,CV-BIZ-115753,Toalla 100% algodón 70x130 cm,1,0,visible,18,,1,5,1,https://biznecubano.com/images/small/tenants/1410/products/115753/3h4-product-cover.jpeg,biznecubano,115753
simple,CV-BIZ-116018,Corral cuna de bebé,1,0,visible,170,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/116018/Di1-product-cover.jpeg,biznecubano,116018
simple,CV-BIZ-116019,Corral cuna de bebé,1,0,visible,170,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/116019/abQ-product-cover.jpeg,biznecubano,116019
simple,CV-BIZ-116315,Aceite capilar de batana HOEGOA,1,0,visible,13,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116315/0Rc-product-cover.jpeg,biznecubano,116315
simple,CV-BIZ-116316,Balsamo facial de miel hidratante,1,0,visible,9,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116316/JEt-product-cover.jpeg,biznecubano,116316
simple,CV-BIZ-116317,Aceite de oliva antiestrias,1,0,visible,13,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116317/bfq-product-cover.jpeg,biznecubano,116317
simple,CV-BIZ-116318,Crema correctora para el cabello Luminoliss,1,0,visible,8,,1,5,1,https://biznecubano.com/images/small/tenants/1410/products/116318/JZ0-product-cover.jpeg,biznecubano,116318
simple,CV-BIZ-116319,Crema blanqueadora de zonas sensibles,1,0,visible,10,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116319/Oml-product-cover.jpeg,biznecubano,116319
simple,CV-BIZ-116320,Crema facial de colágeno retinol hialuronico,1,0,visible,10,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116320/Jn9-product-cover.jpeg,biznecubano,116320
simple,CV-BIZ-116321,"Crema facial arcilla, vit. C y curcuma",1,0,visible,10,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116321/egX-product-cover.jpeg,biznecubano,116321
simple,CV-BIZ-116322,Aceite capilar batana,1,0,visible,10,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116322/iAR-product-cover.jpeg,biznecubano,116322
simple,CV-BIZ-116323,Cera en barra para el cabello,1,0,visible,8,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116323/mW1-product-cover.jpeg,biznecubano,116323
simple,CV-BIZ-116324,Parche para ojos 24K,1,0,visible,8,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/116324/Vlb-product-cover.jpeg,biznecubano,116324
simple,CV-BIZ-116325,Serum capilar EELHOE con keratina y proteina,1,0,visible,10,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116325/aHE-product-cover.jpeg,biznecubano,116325
simple,CV-BIZ-116326,Crema blanqueadora para muslos y axila,1,0,visible,8,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/116326/D9O-product-cover.jpeg,biznecubano,116326
simple,CV-BIZ-116327,Crema HOYGY vit.C curcuma y 5% hialuronico,1,0,visible,9,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116327/bal-product-cover.jpeg,biznecubano,116327
simple,CV-BIZ-116328,Crema aclaradora intensa hiperpigmentacion,1,0,visible,10,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/116328/O2c-product-cover.jpeg,biznecubano,116328
simple,CV-BIZ-116443,Tendedero Plegable Rosa,1,0,visible,26,,1,7,1,https://biznecubano.com/images/small/tenants/1410/products/116443/5pt-product-cover.jpeg,biznecubano,116443
